Name,Age,Height,Weight,Position,Apps,Total minutes,Scored goals,Assists,Total shots,Shots on goal,Duels total,Duels won,Dribble attempts,Dribbles succ.,Total duels,Total passes,Key passes,Tackles,Blocks,Interceptions,Total saves,Goals conceded,Fouls drawn,Fouls committed,Yellow cards,Red cards for 2nd yellow,Straight red cards,Penalties won,Penalties scored,Penalties missed,Penalties committed,Penalties saved
D. Rose,32,173 cm,72 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
B. Mendy,28,185 cm,85 kg,Defender,13.0,955.0,2.0,1.0,4.0,2.0,82.0,32.0,14.0,11.0,82.0,553.0,5.0,13.0,5.0,5.0,,0.0,,14.0,2.0,0.0,0.0,,0.0,0.0,,
F. Delph,33,174 cm,60 kg,Midfielder,8.0,261.0,0.0,,1.0,,27.0,19.0,10.0,7.0,27.0,217.0,2.0,5.0,,4.0,,0.0,7.0,3.0,1.0,0.0,0.0,,0.0,0.0,,
M. Greenwood,21,181 cm,70 kg,Attacker,31.0,1825.0,7.0,2.0,46.0,24.0,182.0,75.0,66.0,36.0,182.0,713.0,15.0,13.0,,5.0,,0.0,20.0,17.0,2.0,0.0,0.0,,0.0,0.0,,
Phil Bardsley,37,180 cm,74 kg,Defender,4.0,273.0,0.0,,3.0,,34.0,19.0,4.0,3.0,34.0,109.0,,6.0,1.0,6.0,,0.0,4.0,8.0,2.0,0.0,0.0,,0.0,0.0,,
D. Stephens,33,169 cm,71 kg,Midfielder,7.0,259.0,0.0,,,,,,,,,,,,,,,0.0,,,1.0,0.0,0.0,,0.0,0.0,,
K. McDonald,34,188 cm,82 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
N. Taylor,33,176 cm,64 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Nya Jerome Kirby,22,174 cm,,Defender,1.0,15.0,0.0,,,,2.0,1.0,,,2.0,9.0,,1.0,,,,0.0,,1.0,1.0,0.0,0.0,,0.0,0.0,,
A. Gomez Mancini,21,180 cm,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Stephen Francis Henderson,34,193 cm,87 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Andreas Søndergaard,21,,,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
L. Hughes,21,,,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
Nile Omari Mckenzie John,19,,,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
Jamie Soule,22,183 cm,75 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Max Thompson,20,,,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Alfie Sean Devine,18,,,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Thanawat Suengchitthawon,22,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Shane Aidan Conor Flynn,21,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Tawanda Jethro Maswanhise,20,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Adrien Sébastien Perruchet da Silva,33,171 cm,72 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
A. Whiteman,24,189 cm,84 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Allan Marques Loureiro,31,173 cm,73 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
K. Tete,27,180 cm,71 kg,Midfielder,24.0,2052.0,0.0,,6.0,2.0,296.0,145.0,49.0,31.0,296.0,1055.0,18.0,80.0,12.0,19.0,,0.0,30.0,37.0,6.0,0.0,0.0,,0.0,0.0,,
S. Romero,35,192 cm,87 kg,Defender,22.0,1483.0,0.0,1.0,4.0,1.0,177.0,105.0,19.0,10.0,177.0,690.0,18.0,48.0,5.0,27.0,,0.0,18.0,28.0,3.0,0.0,0.0,,0.0,0.0,,
M. Rojo,32,187 cm,85 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
B. Leno,30,189 cm,82 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
P. Cutrone,24,183 cm,75 kg,Goalkeeper,35.0,3132.0,0.0,,,,17.0,15.0,,,17.0,995.0,,1.0,,,86.0,37.0,4.0,2.0,0.0,0.0,1.0,,0.0,0.0,,1.0
Percy Muzi Tau,28,175 cm,,Attacker,2.0,23.0,0.0,,1.0,,3.0,1.0,,,3.0,2.0,,,,,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,
Matěj Vydra,30,180 cm,71 kg,Attacker,3.0,102.0,0.0,1.0,,,13.0,5.0,3.0,3.0,13.0,31.0,3.0,1.0,,,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,
C. Austin,33,188 cm,84 kg,Attacker,28.0,1366.0,3.0,2.0,27.0,10.0,207.0,73.0,26.0,16.0,207.0,236.0,14.0,9.0,1.0,6.0,,0.0,13.0,6.0,0.0,0.0,0.0,,0.0,0.0,,
Fabricio Martín Agosto Ramírez,35,184 cm,79 kg,Attacker,5.0,132.0,0.0,,1.0,,31.0,13.0,2.0,1.0,31.0,33.0,,4.0,,3.0,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,
T. Ream,35,185 cm,73 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
T. Adarabioyo,25,196 cm,80 kg,Defender,7.0,630.0,0.0,,,,42.0,24.0,2.0,1.0,42.0,468.0,,12.0,5.0,6.0,,0.0,,3.0,0.0,0.0,0.0,,0.0,0.0,,
Thomas Henry Alex Robson-Kanu,33,183 cm,83 kg,Defender,33.0,2954.0,0.0,,16.0,5.0,219.0,136.0,14.0,11.0,219.0,1905.0,5.0,37.0,20.0,42.0,,0.0,6.0,16.0,1.0,0.0,0.0,,0.0,0.0,,
Gonçalo Cardoso,22,189 cm,,Attacker,19.0,546.0,2.0,,9.0,6.0,94.0,29.0,14.0,6.0,94.0,79.0,5.0,2.0,,2.0,,0.0,10.0,15.0,2.0,0.0,0.0,,0.0,0.0,,
Peter Gwargis,22,180 cm,69 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Sylvester Alexander Jasper,21,180 cm,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Cheikh Sidya Diaby,22,,,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Sidnei Wilson Vieira David Tavares,21,,,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Carlos Vinícius,27,190 cm,86 kg,Midfielder,2.0,85.0,0.0,,1.0,1.0,11.0,6.0,1.0,1.0,11.0,26.0,,1.0,1.0,,,0.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,,
Adrián Bernabé,21,170 cm,,Attacker,9.0,304.0,1.0,,6.0,4.0,58.0,23.0,4.0,3.0,58.0,46.0,2.0,3.0,,2.0,,0.0,3.0,11.0,2.0,0.0,0.0,,0.0,0.0,,
C. Gomes,22,180 cm,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Andreas Pereira,26,178 cm,71 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Willian,34,175 cm,77 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
M. Verrips,26,195 cm,85 kg,Attacker,25.0,1406.0,1.0,5.0,13.0,3.0,106.0,56.0,18.0,13.0,106.0,677.0,32.0,13.0,,8.0,,0.0,21.0,5.0,0.0,0.0,0.0,,0.0,0.0,,
Frederik Alves Ibsen,23,195 cm,78 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
João Virgínia,23,193 cm,83 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
I. Diop,25,194 cm,92 kg,Goalkeeper,1.0,47.0,0.0,,,,,,,,,12.0,,,,,3.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,,1.0
Bernardo,27,186 cm,76 kg,Defender,18.0,1378.0,2.0,,3.0,2.0,96.0,55.0,5.0,3.0,96.0,583.0,2.0,20.0,22.0,22.0,,0.0,8.0,8.0,3.0,0.0,0.0,,0.0,0.0,,
M. Le Marchand,33,181 cm,68 kg,Defender,3.0,204.0,0.0,,2.0,,35.0,18.0,3.0,,35.0,74.0,2.0,10.0,,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,
T. Cairney,31,183 cm,72 kg,Defender,2.0,122.0,0.0,,1.0,,12.0,6.0,,,12.0,85.0,,2.0,,,,0.0,1.0,3.0,2.0,0.0,0.0,,0.0,0.0,,
J. Onomah,25,185 cm,70 kg,Midfielder,10.0,759.0,1.0,1.0,9.0,5.0,70.0,47.0,17.0,16.0,70.0,594.0,17.0,9.0,,,,0.0,18.0,4.0,2.0,0.0,0.0,,0.0,0.0,,
H. Reed,27,181 cm,72 kg,Midfielder,11.0,370.0,0.0,,4.0,1.0,50.0,17.0,2.0,2.0,50.0,170.0,1.0,11.0,2.0,2.0,,0.0,,12.0,1.0,0.0,0.0,,0.0,0.0,,
A. Robinson,25,176 cm,70 kg,Midfielder,31.0,2250.0,0.0,2.0,11.0,4.0,252.0,123.0,24.0,15.0,252.0,1477.0,21.0,63.0,11.0,50.0,,0.0,25.0,40.0,5.0,0.0,0.0,,0.0,0.0,,
A. Connolly,22,,,Defender,28.0,2161.0,0.0,,6.0,4.0,239.0,140.0,73.0,51.0,239.0,1047.0,30.0,45.0,4.0,37.0,,0.0,8.0,20.0,4.0,0.0,1.0,,0.0,0.0,,
E. Caprile,21,191 cm,74 kg,Attacker,17.0,791.0,2.0,1.0,19.0,9.0,86.0,34.0,11.0,5.0,86.0,92.0,6.0,6.0,,,,0.0,16.0,6.0,0.0,0.0,0.0,,0.0,0.0,,
O. Buur,24,180 cm,70 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
R. Yapi,22,178 cm,,Defender,1.0,22.0,0.0,,,,4.0,1.0,,,4.0,14.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
B. Koumetio,20,195 cm,79 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Wesley Moraes,26,191 cm,93 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
S. Mustafi,30,184 cm,82 kg,Attacker,3.0,14.0,0.0,,1.0,1.0,4.0,1.0,,,4.0,4.0,,,,,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,
J. Ruddy,36,192 cm,96 kg,Defender,3.0,44.0,0.0,,,,5.0,4.0,,,5.0,49.0,,1.0,,,,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,
Hélder Wander Sousa de Azevedo e Costa,28,178 cm,69 kg,Goalkeeper,2.0,90.0,0.0,,,,1.0,1.0,,,1.0,14.0,,,,,3.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
P. Jagielka,40,180 cm,87 kg,Attacker,22.0,1155.0,3.0,3.0,11.0,6.0,179.0,66.0,48.0,19.0,179.0,303.0,8.0,25.0,,3.0,,0.0,18.0,20.0,0.0,0.0,0.0,,0.0,0.0,,
F. Andone,29,180 cm,78 kg,Defender,10.0,526.0,0.0,,,,43.0,19.0,,,43.0,204.0,,5.0,5.0,10.0,,0.0,1.0,8.0,1.0,0.0,1.0,,0.0,0.0,,
M. Bogusz,21,175 cm,69 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
J. Shackleton,23,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
S. Field,24,191 cm,90 kg,Midfielder,13.0,453.0,0.0,,,,32.0,15.0,3.0,3.0,32.0,192.0,2.0,10.0,1.0,9.0,,0.0,2.0,3.0,0.0,0.0,0.0,,0.0,0.0,,
S. Johansen,31,182 cm,78 kg,Midfielder,3.0,59.0,0.0,,,,15.0,10.0,1.0,1.0,15.0,24.0,,5.0,1.0,2.0,,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,,
J. Dunne,25,183 cm,75 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Sandro Ramírez,27,175 cm,71 kg,Defender,3.0,270.0,1.0,,5.0,1.0,41.0,30.0,2.0,1.0,41.0,153.0,2.0,3.0,2.0,6.0,,0.0,3.0,2.0,1.0,0.0,0.0,,0.0,0.0,,
Fousseni Diabaté,27,175 cm,60 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
H. Saivet,32,175 cm,73 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
W. Smallbone,22,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
M. Azeez,20,180 cm,,Midfielder,3.0,173.0,0.0,,1.0,1.0,21.0,10.0,,,21.0,73.0,,6.0,,2.0,,0.0,2.0,3.0,0.0,0.0,0.0,,0.0,0.0,,
L. Cundle,20,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
M. Emmanuel,22,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
C. Cresswell,20,183 cm,,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
T. Iroegbunam,19,,,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
D. Alli,26,188 cm,76 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
M. Özil,34,180 cm,76 kg,Midfielder,15.0,618.0,0.0,1.0,9.0,4.0,112.0,49.0,25.0,11.0,112.0,330.0,9.0,18.0,,7.0,,0.0,12.0,10.0,0.0,0.0,0.0,,0.0,0.0,,
R. Slater,23,173 cm,65 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
N. Baxter,24,193 cm,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Thakgalo Khanya Leshabela,23,175 cm,72 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
A. Masuaku,29,179 cm,70 kg,Midfielder,1.0,9.0,0.0,,,,1.0,,,,1.0,7.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
N. Redmond,28,173 cm,69 kg,Defender,12.0,1011.0,0.0,2.0,5.0,2.0,142.0,65.0,44.0,29.0,142.0,476.0,11.0,20.0,,8.0,,0.0,8.0,10.0,2.0,0.0,0.0,,0.0,0.0,,
C. Christie,30,188 cm,78 kg,Midfielder,29.0,1731.0,2.0,3.0,34.0,13.0,233.0,94.0,68.0,39.0,233.0,697.0,29.0,30.0,2.0,11.0,,0.0,15.0,31.0,1.0,0.0,0.0,,0.0,0.0,,
J. Clarke,22,181 cm,,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
D. Gayle,33,174 cm,78 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
N. Broadhead,24,178 cm,73 kg,Attacker,18.0,504.0,1.0,1.0,13.0,7.0,51.0,20.0,2.0,1.0,51.0,108.0,6.0,2.0,1.0,1.0,,0.0,6.0,6.0,0.0,0.0,0.0,,0.0,0.0,,
Richard Nicos Tettey Nartey,24,185 cm,,Attacker,1.0,2.0,0.0,,,,1.0,1.0,,,1.0,2.0,,1.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
E. Simms,21,191 cm,73 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Harry Alfred Tyrer,21,194 cm,,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
A. Alese,21,,,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
L. Delap,19,,,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
D. Cirkin,20,182 cm,72 kg,Attacker,1.0,39.0,0.0,,1.0,,4.0,1.0,,,4.0,6.0,,,,,,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,
N. Huggins,22,180 cm,70 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Mace Lewin Goodridge,23,180 cm,,Attacker,1.0,37.0,0.0,,,,1.0,,,,1.0,17.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Jack Jenkins,20,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
M. Diagne,31,191 cm,86 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Gedson Fernandes,23,183 cm,71 kg,Attacker,16.0,1193.0,3.0,2.0,24.0,10.0,223.0,89.0,16.0,10.0,223.0,235.0,9.0,4.0,1.0,1.0,,0.0,23.0,17.0,2.0,0.0,0.0,,0.0,0.0,,
Filip Krovinović,27,175 cm,69 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Mata,34,170 cm,63 kg,Midfielder,11.0,543.0,0.0,,5.0,2.0,72.0,40.0,9.0,8.0,72.0,360.0,5.0,13.0,,4.0,,0.0,12.0,5.0,0.0,0.0,0.0,,0.0,0.0,,
Yannick Bolasie Yala,33,188 cm,84 kg,Midfielder,9.0,510.0,1.0,2.0,4.0,4.0,25.0,8.0,3.0,2.0,25.0,286.0,8.0,1.0,,3.0,,0.0,4.0,1.0,0.0,0.0,0.0,,1.0,0.0,,
Sokratis Papastathopoulos,34,186 cm,85 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Jonas Bybjerg Lössl,33,195 cm,89 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
C. Atsu,30,165 cm,65 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
Ivan Cavaleiro,29,175 cm,72 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Bernard  Anício Caldeira Duarte,30,164 cm,62 kg,Attacker,36.0,2474.0,3.0,,37.0,17.0,384.0,152.0,98.0,53.0,384.0,724.0,43.0,23.0,1.0,19.0,,0.0,28.0,30.0,2.0,0.0,0.0,,1.0,1.0,,
C. Tosun,31,183 cm,78 kg,Midfielder,12.0,448.0,1.0,,4.0,2.0,57.0,25.0,16.0,10.0,57.0,252.0,10.0,8.0,,8.0,,0.0,7.0,6.0,2.0,0.0,0.0,,0.0,0.0,,
R. Ghezzal,30,182 cm,70 kg,Attacker,5.0,43.0,0.0,,,,6.0,,,,6.0,14.0,1.0,,,,,0.0,,1.0,1.0,0.0,0.0,,0.0,0.0,,
P. van Aanholt,32,176 cm,74 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
J. King,30,180 cm,74 kg,Defender,22.0,1776.0,0.0,1.0,14.0,5.0,124.0,59.0,22.0,10.0,124.0,952.0,12.0,35.0,6.0,30.0,,0.0,3.0,11.0,2.0,0.0,0.0,,0.0,0.0,,
B. Douglas,33,176 cm,72 kg,Attacker,11.0,137.0,0.0,,3.0,1.0,33.0,14.0,7.0,4.0,33.0,49.0,,4.0,,1.0,,0.0,1.0,4.0,0.0,0.0,0.0,,0.0,0.0,,
E. Alioski,30,173 cm,63 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
N. Trott,24,188 cm,75 kg,Defender,36.0,2464.0,2.0,3.0,18.0,8.0,322.0,168.0,26.0,11.0,322.0,1377.0,28.0,74.0,2.0,23.0,,0.0,44.0,39.0,7.0,0.0,0.0,,0.0,0.0,,
J. Jach,28,189 cm,78 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
Karlo Žiger,21,,,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
J. Ojrzyński,19,196 cm,84 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
D. Origi,27,185 cm,75 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
F. Nmecha,22,188 cm,73 kg,Attacker,9.0,181.0,0.0,,7.0,2.0,25.0,7.0,4.0,,25.0,56.0,2.0,3.0,1.0,1.0,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,
T. Ndombélé,26,181 cm,76 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
C. Smalling,33,194 cm,81 kg,Midfielder,33.0,2108.0,3.0,2.0,10.0,7.0,313.0,186.0,99.0,74.0,313.0,1172.0,14.0,41.0,4.0,19.0,,0.0,61.0,26.0,3.0,0.0,0.0,,0.0,0.0,,
F. Benković,25,194 cm,80 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
O. Burke,25,188 cm,74 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
